time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1742264442.25621295,0.01876096,13813,0.00265718,0.00000000,0,0.00000000,48097,48434,836,0.00261554
1742264442.35627389,0.01957483,13783,0.00351149,0.00000000,0,0.00000000,48434,48571,914,0.00246691
1742264442.45642090,0.01918742,13785,0.00321352,0.00000000,0,0.00000000,48571,48933,964,0.00249307
1742264442.55609989,0.01579720,13785,0.00149236,0.00000000,0,0.00000000,48933,49103,424,0.00253538
1742264442.65689111,0.01983700,13735,0.00311124,0.00000000,0,0.00000000,49103,49560,1091,0.00247890
1742264442.75606608,0.01633677,13735,0.00218472,0.00000000,0,0.00000000,49560,49683,548,0.00247894
1742264442.85585999,0.01977621,13672,0.00340077,0.00000000,0,0.00000000,49683,50231,1179,0.00249042
1742264442.95679998,0.01923281,13669,0.00337511,0.00000000,0,0.00000000,50231,50432,913,0.00251516
1742264443.05664611,0.01728687,13669,0.00157556,0.00000000,0,0.00000000,50432,50525,437,0.00250932
1742264443.15681291,0.01955638,13702,0.00285901,0.00000000,0,0.00000000,50525,50794,869,0.00248858
1742264443.25619793,0.01881460,13620,0.00278193,0.00000000,0,0.00000000,50794,51015,784,0.00248825
1742264443.35693192,0.02342744,13580,0.00286663,0.00000000,0,0.00000000,51015,51272,757,0.00248049
1742264443.45604706,0.01919770,13580,0.00142729,0.00000000,0,0.00000000,51272,51344,393,0.00263307
1742264443.55618310,0.01933478,13654,0.00312957,0.00000000,0,0.00000000,51344,51617,960,0.00250342
1742264443.65597391,0.01679177,13620,0.00256992,0.00000000,0,0.00000000,51617,51846,797,0.00247884
1742264443.75664210,0.02196701,13683,0.00308372,0.00000000,0,0.00000000,51846,52116,807,0.00249386
1742264443.85627604,0.01719802,13625,0.00307703,0.00000000,0,0.00000000,52116,52348,874,0.00251577
1742264443.95602107,0.01725318,13655,0.00223688,0.00000000,0,0.00000000,52348,52595,656,0.00245781
1742264444.05601311,0.01734014,13610,0.00224767,0.00000000,0,0.00000000,52595,52836,673,0.00247845
1742264444.15681601,0.01770897,13637,0.00234553,0.00000000,0,0.00000000,52836,53045,693,0.00246092
1742264444.25687408,0.01724126,13664,0.00235564,0.00000000,0,0.00000000,53045,53264,730,0.00251734
1742264444.35687399,0.02150112,13684,0.00435188,0.00000000,0,0.00000000,53264,53207,923,0.00244631
1742264444.45686293,0.01557132,13684,0.00182729,0.00000000,0,0.00000000,53207,53317,428,0.00250844
1742264444.55668712,0.02105618,13691,0.00317232,0.00000000,0,0.00000000,53317,53736,1092,0.00250472
1742264444.65677595,0.01921739,13752,0.00324004,0.00000000,0,0.00000000,53736,54205,1024,0.00259688
1742264444.75626302,0.01734793,13781,0.00292568,0.00000000,0,0.00000000,54205,54616,942,0.00247403
1742264444.85621190,0.01699132,13781,0.00255292,0.00000000,0,0.00000000,54616,54880,727,0.00255168
1742264444.95660710,0.01733663,13789,0.00272304,0.00000000,0,0.00000000,54880,55039,701,0.00246865
1742264445.05629492,0.02178234,13818,0.00259352,0.00000000,0,0.00000000,55039,55233,662,0.00247469
1742264445.15609407,0.01653676,13768,0.00199499,0.00000000,0,0.00000000,55233,55387,566,0.00250751
1742264445.25674295,0.02231132,13755,0.00309724,0.00000000,0,0.00000000,55387,55530,697,0.00273364
1742264445.35651898,0.01828777,13732,0.00285455,0.00000000,0,0.00000000,55530,55589,715,0.00255552
1742264445.45628095,0.02187429,13802,0.00272604,0.00000000,0,0.00000000,55589,55842,666,0.00246595
1742264445.55699205,0.02153202,13742,0.00271495,0.00000000,0,0.00000000,55842,56023,642,0.00249037
1742264445.65650702,0.02146919,13758,0.00251909,0.00000000,0,0.00000000,56023,56110,541,0.00251004
1742264445.75604105,0.02153283,13750,0.00235436,0.00000000,0,0.00000000,56110,56288,606,0.00277033
1742264445.85615611,0.02213668,13745,0.00272337,0.00000000,0,0.00000000,56288,56390,646,0.00251159
1742264445.95661497,0.01784191,13752,0.00225665,0.00000000,0,0.00000000,56390,56629,711,0.00254144
1742264446.05661511,0.01698483,13738,0.00213140,0.00000000,0,0.00000000,56629,56886,676,0.00242898
1742264446.15626192,0.01680166,13749,0.00227017,0.00000000,0,0.00000000,56886,57135,667,0.00248793
1742264446.25593805,0.01684107,13737,0.00233530,0.00000000,0,0.00000000,57135,57191,563,0.00269539
1742264446.35610890,0.02175021,13698,0.00266819,0.00000000,0,0.00000000,57191,57318,629,0.00294522
1742264446.45603895,0.01662057,13745,0.00199018,0.00000000,0,0.00000000,57318,57496,623,0.00282256
1742264446.55614090,0.01676651,13726,0.00234694,0.00000000,0,0.00000000,57496,57747,737,0.00242638
1742264446.65610504,0.01664940,13735,0.00218102,0.00000000,0,0.00000000,57747,57950,693,0.00247770
1742264446.75632906,0.01701564,13676,0.00222606,0.00000000,0,0.00000000,57950,58090,641,0.00249548
1742264446.85666299,0.01679212,13722,0.00220770,0.00000000,0,0.00000000,58090,58238,606,0.00251590
1742264446.95621896,0.01729314,13736,0.00250884,0.00000000,0,0.00000000,58238,58471,717,0.00252642
1742264447.05637693,0.01953706,13760,0.00219391,0.00000000,0,0.00000000,58471,58612,568,0.00246065
1742264447.15659595,0.01747781,13705,0.00237903,0.00000000,0,0.00000000,58612,58777,595,0.00264265
1742264447.25674200,0.01678930,13743,0.00226708,0.00000000,0,0.00000000,58777,58859,589,0.00250812
1742264447.35659194,0.01626700,13741,0.00175270,0.00000000,0,0.00000000,58859,59031,541,0.00257601
1742264447.45674109,0.01669593,13736,0.00191297,0.00000000,0,0.00000000,59031,59230,604,0.00248148
1742264447.55660796,0.01712131,13721,0.00230433,0.00000000,0,0.00000000,59230,59449,556,0.00248705
1742264447.65627289,0.01689857,13752,0.00234827,0.00000000,0,0.00000000,59449,59601,610,0.00266781
1742264447.75691009,0.02123488,13752,0.00258727,0.00000000,0,0.00000000,59601,59524,642,0.00252977
1742264447.85606694,0.01703711,13694,0.00242766,0.00000000,0,0.00000000,59524,59739,709,0.00256907
1742264447.95626712,0.02112769,13747,0.00218939,0.00000000,0,0.00000000,59739,59884,528,0.00250298
1742264448.05629611,0.02101727,13729,0.00227138,0.00000000,0,0.00000000,59884,60041,548,0.00281434
1742264448.15638804,0.02190657,13702,0.00283369,0.00000000,0,0.00000000,60041,60176,640,0.00249722
1742264448.25661302,0.01635293,13692,0.00177254,0.00000000,0,0.00000000,60176,60330,515,0.00246569
1742264448.35682893,0.01642106,13726,0.00185115,0.00000000,0,0.00000000,60330,60500,552,0.00246194
1742264448.45656109,0.01731607,13787,0.00227868,0.00000000,0,0.00000000,60500,60759,667,0.00250631
1742264448.55629992,0.01744763,13795,0.00203010,0.00000000,0,0.00000000,60759,60959,572,0.00247893
1742264448.65713596,0.02155540,13801,0.00658867,0.00000000,0,0.00000000,60959,61547,607,0.00247741
1742264448.75618696,0.01412052,13805,0.00129132,0.00000000,0,0.00000000,57619,58115,582,0.00242560
1742264448.85624194,0.01404003,13778,0.00139043,0.00000000,0,0.00000000,58115,58537,588,0.00255282
1742264448.95653009,0.01604305,13777,0.00212163,0.00000000,0,0.00000000,58537,59010,659,0.00241070
1742264449.05655193,0.01480957,13781,0.00180923,0.00000000,0,0.00000000,59010,59397,697,0.00250000
1742264449.15631604,0.01478664,13777,0.00169687,0.00000000,0,0.00000000,59397,59681,596,0.00241734
1742264449.25630212,0.01910510,13774,0.00179304,0.00000000,0,0.00000000,59681,59925,559,0.00320538
1742264449.35652304,0.01482198,13776,0.00163597,0.00000000,0,0.00000000,59925,60216,601,0.00252364
1742264449.45648909,0.01514335,13795,0.00181126,0.00000000,0,0.00000000,60216,60445,626,0.00251879
1742264449.55636406,0.01558643,13792,0.00195563,0.00000000,0,0.00000000,60445,60756,705,0.00244379
1742264449.65671611,0.01508385,13751,0.00185828,0.00000000,0,0.00000000,60756,60999,636,0.00251092
1742264449.75618005,0.01501831,13785,0.00172491,0.00000000,0,0.00000000,60999,61214,567,0.00244746
1742264449.85584211,0.01710101,13790,0.00196616,0.00000000,0,0.00000000,61214,61471,676,0.00248199
1742264449.95646000,0.01364270,13790,0.00102948,0.00000000,0,0.00000000,61471,61588,334,0.00258219
1742264450.05653691,0.01760058,13734,0.00234416,0.00000000,0,0.00000000,61588,61893,833,0.00244441
1742264450.15661693,0.01544775,13755,0.00204579,0.00000000,0,0.00000000,61893,62112,666,0.00262169
1742264450.25604105,0.02007082,13735,0.00233695,0.00000000,0,0.00000000,62112,62330,650,0.00248073
1742264450.35616398,0.01615075,13810,0.00253225,0.00000000,0,0.00000000,62330,62731,907,0.00254292
1742264450.45629001,0.02128701,13763,0.00330392,0.00000000,0,0.00000000,62731,63212,1019,0.00248306
1742264450.55670190,0.01629302,13736,0.00240234,0.00000000,0,0.00000000,63212,63444,783,0.00246478
1742264450.65665793,0.01625551,13778,0.00218496,0.00000000,0,0.00000000,63444,63722,725,0.00247137
1742264450.75626707,0.01691278,13669,0.00240907,0.00000000,0,0.00000000,63722,64032,817,0.00248825
1742264450.85601902,0.01646506,13748,0.00209825,0.00000000,0,0.00000000,64032,64244,700,0.00247688
1742264450.95689511,0.02069077,13779,0.00243487,0.00000000,0,0.00000000,64244,64495,645,0.00251354
1742264451.05679607,0.01604683,13788,0.00220950,0.00000000,0,0.00000000,64495,64683,658,0.00252395
1742264451.15631700,0.02035005,13781,0.00240558,0.00000000,0,0.00000000,64683,64892,664,0.00247715
1742264451.25653410,0.01740342,13747,0.00222906,0.00000000,0,0.00000000,64892,65043,649,0.00251901
1742264451.35620308,0.01819600,13760,0.00236174,0.00000000,0,0.00000000,65043,65364,771,0.00252933
1742264451.45611691,0.01525453,13760,0.00132600,0.00000000,0,0.00000000,65364,65405,360,0.00242012
1742264451.55684304,0.01857553,13755,0.00267743,0.00000000,0,0.00000000,65405,65682,741,0.00248074
1742264451.65651393,0.01673407,13755,0.00144503,0.00000000,0,0.00000000,65682,65727,368,0.00245452
1742264451.75628805,0.01796398,13708,0.00226014,0.00000000,0,0.00000000,65727,65996,758,0.00248960
1742264451.85653806,0.02100392,13755,0.00263548,0.00000000,0,0.00000000,65996,66148,700,0.00267199
1742264451.95676994,0.01631737,13739,0.00241851,0.00000000,0,0.00000000,66148,66397,771,0.00244063
1742264452.05678701,0.01610015,13761,0.00200547,0.00000000,0,0.00000000,66397,66675,645,0.00248585
1742264452.15657902,0.01734154,13743,0.00195768,0.00000000,0,0.00000000,66675,66821,566,0.00246054
1742264452.25655699,0.01805860,13756,0.00244230,0.00000000,0,0.00000000,66821,66973,647,0.00359797
1742264452.35654497,0.01626839,13738,0.00186833,0.00000000,0,0.00000000,66973,67157,561,0.00246274
1742264452.45684505,0.01741625,13732,0.00192075,0.00000000,0,0.00000000,67157,67394,615,0.00247328
1742264452.55677295,0.01712824,13762,0.00247337,0.00000000,0,0.00000000,67394,67565,719,0.00248135
